Title,Creator,Format,Year,Language,Locus of Origin,Tag 1,Tag 2,Tag 3
Light in August,William Faulkner,Novel,1932,English,U.S.,Afro-Caucasian,,
第一爐香/Aloeswood Incense,張愛玲/Eileen Chang ,Novella,1943,Chinese,Republican China,Chinese-Macanese,Eurasian,
連環套/Chained Links ,張愛玲/Eileen Chang ,Novella,1944,Chinese,Republican China,Chinese-Indian,Eurasian,
"紅玫瑰白玫瑰/Red Rose, White Rose",張愛玲/Eileen Chang ,Novella,1944,Chinese,Republican China,Chinese-British,Eurasian,
小寡婦,黃春明,Novella,1975,Chinese,Taiwan,Afro-Asian,G.I. Babies,
六月裏的玫瑰花,陳映真,Novella,1978,Chinese,Taiwan,Afro-Asian,G.I. Babies,
花街時代/My name ain't Suzie,陳安琪,Film,1985,Chinese,Hong Kong,Chinese-American,G.I. Babies,
恐怖份子/Terrorizers,楊德昌/Edward Yang,Film,1986,Chinese,Taiwan,Chinese-American,G.I. Babies,
客途秋恨/Song of the Exile ,許鞍華/Ann Hui,Film,1990,Chinese,Hong Kong,Chinese-Japanese,,
嘔吐,黃碧雲/Wong Bik-wan,Novella,1994,Chinese,Hong Kong,Afro-Asian,,
Caucasia,Danzy Senna,Novel,1998,English,U.S.,Afro-Caucasian,,
Monkey Hunting,Cristina García,Novel,2003,English,U.S.,Chinese-Cuban,,
"The Skin Between Us: A Memoir of Race, Beauty and Belonging",Kym Ragusa,Memoir,2006,English,U.S.,Afro-Caucasian,,
Mixed: An Anthology of Short Fiction on the Multiracial Experience ,Chandra Prasad,Anthology,2006,English,U.S.,Various,,
小姨多鶴/Little Aunt Duohe,嚴歌苓/Yan Geling,Novel ,2008,Chinese,U.S.,Chinese-Japanese,,
Hafu: The Mixed-Race Experience in Japan,"Megumi Nishikura, Lara Perez Takagi",Documentary ,2013,Japanese,Japan,Afro-Asian,G.I. Babies,
邦查女孩,甘耀明,Novel,2015,Chinese,Taiwan,Afro-Austronesian,Indigenous Taiwan,
Loving Day ,Mat Johnson,Novel,2015,English,U.S.,Afro-Caucasian,,
The Face: Time Code,Ruth Ozeki,Memoir,2016,English,U.S.,Japanese-American,,
幸福路上/On Happiness Road,宋欣穎,Film,2017,Chinese,Taiwan,Chinese-American,G.I. Babies,
爸爸歐巴馬,林聖賢,Documentary ,2023,Chinese,Taiwan,Afro-Asian,G.I. Babies,
